total_week,country_code,total_books,after,treated,deaths,cases,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,close_public_transport,stay_at_home_requirements,nacionaltravel,internationaltravel,after_treated
33,DEU,261.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,DNK,74.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,ESP,286.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,EST,6.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,FIN,477.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,FRA,145.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,GBR,524.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,GRC,31.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,HKG,6.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,HUN,23.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,IDN,25.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,IND,289.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,IRL,21.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,ISR,43.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,ITA,508.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,JPN,49.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,LVA,12.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,MEX,75.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,NLD,323.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,NOR,29.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,PER,20.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,PHL,57.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,POL,23.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,PRT,152.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,ROU,38.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,RUS,4.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,SGP,23.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,SVK,5.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,SWE,372.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,TUR,20.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,URY,79.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,USA,3443.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,ARG,23.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,AUS,457.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,AUT,80.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,BEL,143.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,BGR,19.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,BRA,314.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,CAN,262.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,CHE,21.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,CHL,142.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,CHN,37.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,COL,4.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,DEU,557.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,DNK,17.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,ESP,190.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,EST,5.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,FIN,355.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,FRA,103.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,GBR,572.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,GRC,42.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,HKG,1.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,HUN,17.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,IDN,48.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,IND,303.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,IRL,8.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,ISR,51.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,ITA,695.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,JPN,14.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,LVA,15.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
